fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Symbol
2020-09-30,USD,196000000,None,None,-361000000,108000000,16000000,24000000,5000000,None,604000000,-90000000,934000000,None,0,0,None,0,0,None,None,0,None,45000000,None,604000000,37000000,604000000,ATVI
2020-06-30,USD,768000000,None,None,280000000,111000000,14000000,13000000,19000000,None,580000000,-60000000,-288000000,None,0,0,None,316000000,316000000,None,None,0,None,43000000,None,580000000,None,580000000,ATVI
2020-03-31,USD,148000000,8000000,None,-719000000,-238000000,33000000,19000000,-249000000,None,505000000,-28000000,7000000,None,0,0,None,316000000,316000000,None,None,0,None,26000000,None,127000000,None,505000000,ATVI
2019-12-31,USD,918000000,179000000,None,960000000,234000000,177000000,37000000,453000000,-72000000,454000000,-101000000,14000000,None,0,0,None,0,0,None,None,0,None,18000000,None,454000000,-3000000,525000000,ATVI
2019-09-30,USD,309000000,11000000,None,83000000,57000000,51000000,34000000,-65000000,61000000,204000000,42000000,23000000,None,0,0,None,0,0,None,None,0,None,30000000,None,194000000,None,204000000,ATVI
2019-06-30,USD,154000000,20000000,None,-505000000,-227000000,49000000,27000000,-132000000,2000000,328000000,42000000,-298000000,None,0,0,None,283000000,283000000,None,None,0,None,27000000,None,309000000,None,328000000,ATVI
2019-03-31,USD,450000000,12000000,None,-738000000,-417000000,56000000,18000000,-438000000,2000000,447000000,-5000000,24000000,None,0,0,None,283000000,283000000,None,None,0,None,30000000,None,469000000,None,447000000,ATVI
2018-12-31,USD,999000000,None,None,-235000000,318000000,230000000,34000000,404000000,-122000000,694000000,-70000000,0,None,0,0,None,0,0,None,None,0,None,8000000,None,694000000,-16000000,685000000,ATVI
2018-09-30,USD,253000000,None,None,874000000,410000000,85000000,36000000,221000000,135000000,260000000,-36000000,-1770000000,None,0,0,None,0,0,None,None,0,None,14000000,None,261000000,4000000,260000000,ATVI
2018-06-30,USD,9000000,None,None,-602000000,-29000000,79000000,30000000,-8000000,-4000000,402000000,-73000000,-258000000,None,0,0,None,259000000,259000000,None,None,0,None,30000000,None,404000000,-37000000,402000000,ATVI
2018-03-31,USD,529000000,None,None,-798000000,-529000000,121000000,31000000,-503000000,-4000000,500000000,-51000000,8000000,None,0,0,None,259000000,259000000,None,None,0,None,47000000,None,504000000,18000000,500000000,ATVI
2017-12-31,USD,1158000000,None,None,1464000000,28000000,318000000,69000000,25000000,-24000000,221000000,-44000000,16000000,None,0,0,None,0,0,None,None,0,None,28000000,None,1137000000,4000000,-584000000,ATVI
2017-09-30,USD,379000000,None,None,614000000,620000000,190000000,34000000,525000000,44000000,188000000,-115000000,12000000,None,0,0,None,0,0,None,None,0,None,20000000,None,298000000,22000000,188000000,ATVI
2017-06-30,USD,265000000,None,None,-197000000,35000000,196000000,31000000,11000000,8000000,243000000,-21000000,-248000000,None,0,0,None,226000000,226000000,None,None,1190000000,None,21000000,None,30000000,31000000,243000000,ATVI
2017-03-31,USD,411000000,None,None,-631000000,-395000000,197000000,21000000,-396000000,-2000000,426000000,-27000000,-404000000,None,0,0,None,None,None,None,None,2551000000,None,109000000,None,3000000,19000000,426000000,ATVI
2016-12-31,USD,859000000,None,None,362000000,342000000,337000000,37000000,311000000,-64000000,425000000,-3579000000,-1583000000,None,0,0,None,0,0,None,None,-47000000,None,20000000,None,-784000000,-33000000,254000000,ATVI
2021-09-03,USD,1404000000,None,None,None,None,193000000,95000000,66000000,None,1212000000,-133000000,-899000000,None,1000000000,0,None,None,None,None,None,0,None,0,203000000,1212000000,1000000,1212000000,ADBE
2021-06-04,USD,1988000000,None,None,None,None,194000000,95000000,-43000000,None,1116000000,-107000000,-1080000000,None,1000000000,0,None,None,None,None,None,0,None,0,0,1116000000,-3000000,1116000000,ADBE
2020-11-27,USD,1782000000,25000000,None,86000000,88000000,190000000,103000000,81000000,None,1197000000,-131000000,-940000000,None,850000000,850000000,None,None,None,None,None,None,None,-850000000,0,1197000000,0,2250000000,ADBE
2020-08-28,USD,1436000000,76000000,None,0,-54000000,191000000,126000000,-32000000,None,955000000,-315000000,-414000000,None,500000000,500000000,None,None,None,None,None,0,None,-319000000,181000000,955000000,16000000,955000000,ADBE
2020-05-29,USD,1184000000,24000000,None,57000000,96000000,188000000,96000000,-10000000,None,1100000000,80000000,-901000000,None,850000000,850000000,None,None,None,None,None,0,None,-849000000,1000000,1100000000,-7000000,1100000000,ADBE
2020-02-28,USD,1325000000,62000000,None,-33000000,52000000,188000000,94000000,-145000000,None,955000000,-48000000,-1233000000,None,850000000,850000000,None,None,None,None,None,3144000000,None,-762000000,88000000,38000000,-6000000,955000000,ADBE
2019-11-29,USD,1377000000,27476000,None,184454000,414873000,191000000,94095000,174000000,None,957147000,-169000000,-766000000,None,750000000,750000000,None,None,None,None,None,None,None,-749308000,1000000,441174000,-1000000,852000000,ADBE
2019-08-30,USD,922000000,46593000,None,-97122000,247170000,193000000,89624000,100000000,None,792763000,-165000000,-624000000,None,750000000,750000000,None,None,None,None,None,0,None,-591672000,158000000,126137000,-7000000,793000000,ADBE
2019-05-31,USD,1110000000,27006000,None,166654000,-26163000,187000000,145760000,-21000000,None,632593000,10000000,-772000000,None,750000000,750000000,None,None,None,None,None,0,None,-748088000,2000000,344135000,-4000000,633000000,ADBE
2019-03-01,USD,1013000000,51000000,None,-55000000,83000000,186000000,65000000,-65000000,None,702334000,-132000000,-784000000,None,500000000,500000000,None,None,None,None,None,0,None,-428000000,72000000,96000000,-1000000,674000000,ADBE
2018-11-30,USD,1107689000,19504000,None,-58329000,188387000,106228000,62563000,201002000,None,699217000,-3138583000,1925299000,None,300000000,300000000,None,None,None,None,None,0,None,-298753000,1257000,-104369000,1523000,678240000,ADBE
2018-08-31,USD,955304000,24251000,None,126136000,-75110000,86890000,63558000,-58321000,None,666291000,-1520334000,-671661000,None,750000000,750000000,None,None,None,None,None,0,None,-624939000,125061000,-1240842000,-4151000,666291000,ADBE
2018-06-01,USD,976406000,11093000,None,51798000,55376000,76360000,45316000,13717000,None,690799000,67679000,-717365000,None,700000000,700000000,None,None,None,None,None,None,None,-699702000,298000,321005000,-5715000,663167000,ADBE
2018-03-02,USD,989601000,26410000,None,458336000,-89445000,76522000,95142000,-154398000,None,702502000,-93762000,-541273000,None,300000000,300000000,None,None,None,None,None,None,None,-235616000,64384000,360909000,6343000,583076000,ADBE
2017-12-01,USD,833220000,9661000,None,-130805000,217418000,81234000,37684000,213634000,None,643012000,20366000,-319509000,None,300000000,300000000,None,None,None,None,None,None,None,-299331000,669000,531522000,-2555000,501549000,ADBE
2017-09-01,USD,704436000,25811000,None,174868000,88755000,82319000,54238000,105814000,None,541379000,-36814000,-218299000,None,300000000,300000000,None,None,None,None,None,None,None,-195148000,104852000,457600000,8277000,419569000,ADBE
2017-06-02,USD,644827000,9070000,None,107458000,26452000,81635000,55297000,51975000,None,492618000,-87547000,-314432000,None,300000000,300000000,None,None,None,None,None,None,None,-298957000,1043000,248054000,5206000,374390000,ADBE
2017-03-03,USD,730370000,24888000,None,-80096000,-173492000,80809000,30903000,-184250000,None,460632000,-338882000,-331495000,None,200000000,200000000,None,None,None,None,None,None,None,-148213000,51787000,57581000,-2412000,398446000,ADBE
2016-12-02,USD,695601000,13847000,None,239055000,88054000,81860000,48633000,103383000,None,456700000,-143098000,-300469000,None,300000000,300000000,None,None,None,None,None,None,None,-294126000,5874000,243643000,-8391000,399613000,ADBE
2016-09-02,USD,517885000,28216000,None,138930000,48961000,84014000,55213000,65655000,None,356301000,-306588000,-324957000,None,400000000,400000000,None,None,None,None,None,None,None,-312462000,87538000,-118707000,-5047000,270788000,ADBE
2021-10-09,USD,148777000,143238000,None,63081000,148263000,59426000,61410000,127304000,20959000,169813000,-61165000,-292297000,0,230213000,230213000,None,62954000,62954000,None,868000,None,None,-229345000,None,140413000,43000,169813000,AAP
2021-07-17,USD,446227000,90275000,None,137562000,-48750000,58058000,58689000,-681000,-48069000,178696000,-57422000,-459752000,0,395644000,395644000,None,64825000,None,None,869000,None,None,-394775000,None,139696000,1000,178696000,AAP
2021-04-24,USD,329932000,185083000,None,45145000,-9901000,77253000,70884000,53982000,-63883000,185930000,-70294000,-216689000,0,183647000,183647000,None,33146000,None,None,0,None,None,-183647000,None,45241000,2292000,185930000,AAP
2020-09-30,USD,361008000,128855000,None,181599000,105546000,57690000,52527000,99833000,5713000,1128471000,-51918000,-384263000,0,111127000,111127000,None,17193000,17193000,None,693000,None,None,-110434000,None,1128471000,1876000,147476000,AAP
2020-07-11,USD,437302000,None,None,None,None,56642000,None,None,-172793000,1096714000,-56898000,-519135000,-500000000,1442000,None,None,17424000,None,None,783000,None,None,None,None,1096714000,395000,189960000,AAP
2020-04-18,USD,10908000,167273000,None,-114283000,45596000,78579000,82973000,-59303000,104899000,43588000,-83132000,936858000,500000000,35761000,35761000,None,21593000,None,None,735000,None,None,-35026000,None,861173000,-3461000,43588000,AAP
2019-12-31,USD,158363000,141782000,None,-24653000,5702000,58806000,130005000,-32443000,38145000,928769000,-302429000,-11289000,12000,12054000,12054000,None,0,17185000,None,976000,None,None,-11078000,None,-155061000,294000,95907000,AAP
2019-10-05,USD,216385000,138939000,None,77420000,28639000,56308000,57799000,9339000,19300000,1011926000,-57651000,-332298000,10914000,339743000,339743000,None,4157000,4157000,None,710000,None,None,-339033000,None,-173993000,-429000,123669000,AAP
2019-07-13,USD,287619000,134873000,None,80540000,-35873000,53372000,50113000,27184000,-63057000,1009438000,-42100000,-35390000,-19687000,12347000,12347000,None,4305000,None,None,970000,None,None,-11377000,None,210389000,260000,124820000,AAP
2019-04-20,USD,204542000,143450000,None,40190000,127499000,69885000,61312000,58757000,68742000,142500000,-60759000,-503176000,-50578000,134291000,134291000,None,8723000,None,None,678000,None,None,-133613000,None,-359197000,196000,142500000,AAP
2018-12-31,USD,129525000,None,None,125082000,111139000,54600000,101571000,-72124000,183263000,928643000,-88145000,-110255000,43987000,154872000,154872000,None,0,8723000,None,910000,None,None,-153962000,None,-73479000,-4604000,53441000,AAP
2018-10-06,USD,237535000,None,None,123054000,58602000,55340000,43317000,33600000,25002000,1006927000,-42445000,-128420000,-3611000,120825000,120825000,None,4421000,4419000,None,593000,None,None,-120232000,None,67757000,1087000,115843000,AAP
2018-07-14,USD,289998000,None,None,113480000,-20526000,56552000,27341000,45983000,-66509000,1011559000,-27293000,1517000,3739000,433000,434000,None,4468000,None,None,943000,None,None,509000,None,263106000,-1116000,117836000,AAP
2018-04-21,USD,153970000,None,None,17817000,78381000,71692000,34474000,14012000,64369000,136727000,-33944000,-26757000,-12101000,5224000,5223000,None,8930000,None,None,754000,None,None,-4469000,None,92206000,-1063000,136727000,AAP
2017-12-31,USD,199800000,None,None,-76800000,-122398000,56507000,40024000,-71807000,-50591000,873569000,-23819000,7027000,9328000,3118000,3118000,None,26000,100000,None,934000,None,None,-2184000,None,183635000,627000,184500000,AAP
2017-10-07,USD,133656000,None,None,-71246000,-76286000,57553000,38596000,-1252000,-75034000,947708000,-33787000,4945000,8878000,77000,77000,None,4465000,4400000,None,861000,None,None,784000,None,106072000,1258000,95996000,AAP
2017-07-15,USD,232268000,None,None,-46000000,-136502000,57770000,57085000,-5195000,-131307000,993088000,-56894000,-46716000,-42692000,182000,182000,None,4461000,None,None,1245000,None,None,1063000,None,131143000,2485000,87049000,AAP
2017-04-22,USD,35081000,None,None,-16417000,131591000,77430000,65279000,42207000,89384000,107960000,-64139000,19872000,38490000,3121000,3121000,None,8902000,None,None,1036000,None,None,-2085000,None,-9091000,95000,107960000,AAP
2016-12-31,USD,96271000,85153000,None,-143182000,-91342000,59125000,68381000,-45846000,-31075000,907564000,-56642000,-23202000,-14338000,6093000,6093000,None,4000,4000,None,1094000,None,None,-4999000,None,15684000,-743000,62365000,AAP
2016-10-08,USD,218592000,-50390000,None,5683000,-42672000,59997000,66293000,30247000,-60725000,988205000,-66345000,-137113000,-130391000,121000,121000,None,4443000,4400000,None,1216000,None,None,1095000,None,14667000,-467000,113844000,AAP
2021-09-30,USD,775000000,170000000,None,33000000,81000000,257000000,535000000,-2000000,77000000,485000000,-583000000,-161000000,154000000,None,None,None,101000000,101000000,None,None,None,None,-1000000,None,745000000,-21000000,343000000,AES
2021-06-30,USD,351000000,239000000,None,27000000,106000000,263000000,567000000,41000000,7000000,-77000000,-758000000,-311000000,67000000,None,None,None,100000000,100000000,None,None,None,None,-2000000,None,-85000000,18000000,28000000,AES
2021-03-31,USD,253000000,167000000,None,-340000000,12000000,275000000,432000000,79000000,-14000000,-29000000,-387000000,993000000,-1000000,0,0,None,100000000,100000000,None,0,None,None,1017000000,None,837000000,-22000000,-148000000,AES
2020-12-31,USD,668000000,331000000,None,-106000000,-181000000,265000000,525000000,-88000000,5000000,401000000,-439000000,-735000000,-643000000,0,0,None,95000000,95000000,None,0,None,None,0,None,401000000,9000000,318000000,AES
2020-09-30,USD,1267000000,160000000,None,80000000,156000000,264000000,413000000,10000000,-31000000,-481000000,-495000000,-501000000,224000000,0,0,None,96000000,96000000,None,0,None,None,0,None,-507000000,4000000,-333000000,AES
2020-06-30,USD,447000000,295000000,None,-21000000,-1000000,271000000,386000000,-10000000,69000000,3000000,-626000000,128000000,-519000000,0,0,None,95000000,95000000,None,0,None,None,0,None,-11000000,-5000000,-83000000,AES
2020-03-31,USD,373000000,163000000,None,-60000000,119000000,268000000,576000000,40000000,-23000000,229000000,-735000000,1030000000,879000000,0,0,None,95000000,95000000,None,0,None,None,0,None,636000000,-32000000,144000000,AES
2019-12-31,USD,691000000,276000000,None,-62000000,-115000000,1023000000,777000000,-46000000,-31000000,-120000000,-1010000000,47000000,-137000000,0,0,None,90000000,90000000,None,0,None,None,0,None,-120000000,10000000,-78000000,AES
2019-09-30,USD,761000000,11000000,None,36000000,64000000,0,558000000,-17000000,28000000,298000000,-598000000,-241000000,129000000,0,0,None,91000000,91000000,None,0,None,None,0,None,218000000,-26000000,210000000,AES
2019-06-30,USD,324000000,12000000,None,-77000000,-32000000,1000000,566000000,-1000000,-43000000,67000000,-450000000,-294000000,69000000,0,0,None,91000000,91000000,None,0,None,None,0,None,49000000,2000000,17000000,AES
2019-03-31,USD,690000000,169000000,None,24000000,-40000000,0,504000000,-9000000,18000000,233000000,-663000000,402000000,230000000,0,0,None,90000000,90000000,None,0,None,None,0,None,425000000,-4000000,154000000,AES
